date,count_all,count_normal,count_staff,count_shop
2020-10-31 18:09:00,2275,2177,43,61
2020-10-31 18:10:00,2323,2226,43,61
2020-10-31 18:11:00,2387,2290,43,61
2020-10-31 18:12:00,2433,2336,43,61
2020-10-31 18:13:00,2467,2371,43,61
2020-10-31 18:14:00,2518,2421,44,61
2020-10-31 18:15:00,2576,2479,44,61
2020-10-31 18:16:00,2606,2509,44,61
2020-10-31 18:17:00,2646,2549,44,61
2020-10-31 18:18:00,2699,2602,44,61
2020-10-31 18:19:00,2752,2655,44,61
2020-10-31 18:20:00,2821,2723,45,61
2020-10-31 18:21:00,2877,2779,45,61
2020-10-31 18:22:00,2929,2831,45,61
2020-10-31 18:23:00,2984,2886,45,61
2020-10-31 18:24:00,3038,2940,45,61
2020-10-31 18:25:00,3098,3000,45,61
2020-10-31 18:26:00,3130,3032,45,61
2020-10-31 18:27:00,3177,3078,46,61
2020-10-31 18:28:00,3231,3132,46,61
2020-10-31 18:29:00,3298,3199,46,61
2020-10-31 18:30:00,3345,3246,46,61
2020-10-31 18:31:00,3410,3311,46,61
2020-10-31 18:32:00,3437,3338,46,61
2020-10-31 18:33:00,3504,3405,46,61
2020-10-31 18:34:00,3561,3462,46,61
2020-10-31 18:35:00,3611,3512,46,61
2020-10-31 18:36:00,3669,3570,46,61
2020-10-31 18:37:00,3717,3618,46,61
2020-10-31 18:38:00,3773,3674,46,61
2020-10-31 18:39:00,3849,3750,46,61
2020-10-31 18:40:00,3935,3836,46,61
2020-10-31 18:41:00,4008,3909,46,61
2020-10-31 18:42:00,4063,3964,46,61
2020-10-31 18:43:00,4119,4021,45,61
2020-10-31 18:44:00,4162,4064,45,61
2020-10-31 18:45:00,4201,4103,45,61
2020-10-31 18:46:00,4228,4130,45,61
2020-10-31 18:47:00,4291,4193,45,61
2020-10-31 18:48:00,4346,4248,45,61
2020-10-31 18:49:00,4397,4299,45,61
2020-10-31 18:50:00,4435,4337,45,61
2020-10-31 18:51:00,4477,4379,45,61
2020-10-31 18:52:00,4538,4440,46,61
2020-10-31 18:53:00,4579,4482,46,61
2020-10-31 18:54:00,4625,4528,46,61
2020-10-31 18:55:00,4674,4577,46,61
2020-10-31 18:56:00,4716,4619,46,61
2020-10-31 18:57:00,4783,4686,46,61
2020-10-31 18:58:00,4825,4728,46,61
2020-10-31 18:59:00,4876,4779,46,61
2020-10-31 19:00:00,4891,4796,46,61
2020-10-31 19:01:00,4952,4857,46,61
2020-10-31 19:02:00,5009,4914,46,61
2020-10-31 19:03:00,5054,4958,47,61
2020-10-31 19:04:00,5109,5013,47,61
2020-10-31 19:05:00,5159,5063,47,61
2020-10-31 19:06:00,5203,5108,46,61
2020-10-31 19:07:00,5229,5134,46,61
2020-10-31 19:08:00,5256,5161,46,61
2020-10-31 19:09:00,5276,5181,46,61
2020-10-31 19:10:00,5263,5168,46,61
2020-10-31 19:11:00,5259,5164,46,61
2020-10-31 19:12:00,5255,5160,46,61
2020-10-31 19:13:00,5253,5158,46,61
2020-10-31 19:14:00,5240,5145,46,61
2020-10-31 19:15:00,5237,5142,46,61
2020-10-31 19:16:00,5244,5148,47,61
2020-10-31 19:17:00,5270,5174,47,61
2020-10-31 19:18:00,5277,5181,47,61
2020-10-31 19:19:00,5293,5196,48,61
2020-10-31 19:20:00,5286,5189,48,61
2020-10-31 19:21:00,5318,5221,48,61
2020-10-31 19:22:00,5343,5246,48,61
2020-10-31 19:23:00,5326,5229,48,61
2020-10-31 19:24:00,5335,5238,48,61
2020-10-31 19:25:00,5356,5259,48,61
2020-10-31 19:26:00,5369,5272,48,61
2020-10-31 19:27:00,5395,5298,48,61
2020-10-31 19:28:00,5405,5308,48,61
2020-10-31 19:29:00,5415,5318,48,61
2020-10-31 19:30:00,5432,5335,48,61
2020-10-31 19:31:00,5434,5337,48,61
2020-10-31 19:32:00,5464,5367,48,61
2020-10-31 19:33:00,5501,5404,48,61
2020-10-31 19:34:00,5487,5390,48,61
2020-10-31 19:35:00,5505,5408,48,61
2020-10-31 19:36:00,5545,5448,48,61
2020-10-31 19:37:00,5575,5478,48,61
